,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,23015,18759,19031,19310,19123,19159,19183,19428,19446,19227,19431,19184,19242,19245,19123,19155,19155,19410,19353,19197,18992,19094,19310,19272,19198,19213,19170,19105,19131,19515,19477,19127,19505,19405,19149,19151,18986,19185,19240,19229,19331,19286,19276,19167,19165,19244,19309,19334,18957,18642,18209,17450
1,22732,18830,19247,19365,19186,19261,19067,19014,19358,18988,19386,19232,19326,19085,19212,19550,19515,19156,19359,19066,19203,19208,19105,19219,19220,19047,19091,19245,19458,19332,19202,19341,19440,19399,19192,19296,19209,19168,19090,19414,19020,19248,19129,19105,19204,19101,19119,19496,18887,18624,18447,17806
2,22768,18946,19195,19144,19538,19217,19263,19099,19340,19345,19110,19313,19096,19175,19272,19494,19142,18983,19192,19473,19082,19243,19060,19050,19090,19197,19072,19326,19408,19117,19129,19217,19440,19530,19449,19140,19330,19217,19100,19230,19360,19113,18999,19369,19434,19210,18965,19226,19066,18801,18142,17783
3,22545,19025,18888,19301,19033,19074,19144,19086,19317,19243,19331,19200,19237,19249,19153,19231,19459,19422,19066,19379,19252,19332,19170,19357,19158,19042,19062,19144,19164,19537,19140,19333,19096,19493,19322,19318,19189,19405,19141,19304,19251,19225,19369,19153,19515,19071,19340,19089,19030,18643,18222,17750
4,22510,19147,19235,19299,19157,19432,19168,19196,19204,19194,19356,19182,19186,19131,19229,19046,19486,19103,19031,19298,19310,19278,19388,19050,18989,19498,18894,19310,19070,19175,19259,19209,19160,19322,19040,19349,19002,19142,19206,19523,19518,19080,19238,19279,19219,19311,19326,19149,19187,18742,18332,17855
5,22452,19097,19097,19015,19268,19267,19273,19311,19084,19209,19487,19383,19134,19304,19312,19156,19160,19321,19233,19318,19243,19024,19206,19363,19002,19323,19058,19063,19301,18909,19336,19415,19133,19238,19355,19243,19348,19003,19180,18966,19131,19111,19285,19494,19191,19236,19239,19153,19062,18819,18539,18150
6,22416,19154,19296,18967,19116,19379,19264,19302,19380,19177,19253,19119,19206,19324,19260,19323,19271,19261,19233,19206,19314,19176,19357,19053,19188,19207,19145,19031,19117,19248,19149,19122,19158,19254,19295,19257,19409,19405,19200,19107,19323,19261,19209,19158,19085,19383,19410,19175,18856,18887,18360,17794
7,21899,18965,19128,19362,19343,19262,19119,19336,19234,19268,19243,19016,19188,19239,19174,19102,19103,19352,19421,19094,19430,19218,19403,19144,19305,19260,19396,18968,19151,19159,19210,19099,19260,19245,19254,19300,19354,19159,18896,19221,19377,19169,19071,19292,19171,19457,19168,19201,19080,18882,18513,18339
8,21871,19344,19239,19273,19106,19153,19160,19029,19442,19378,19254,19227,19257,19412,19102,19057,18937,19122,19255,19234,19165,19350,19230,19034,19000,19458,19246,19151,19118,19336,19238,19244,19030,19138,19079,19290,19450,19266,19016,19398,19184,19227,19054,19457,19283,19263,19004,19275,19177,19091,18734,18162
9,21674,19194,19296,19369,19025,19165,19304,19438,19271,19153,19040,19216,19246,19015,19481,19336,19056,19172,18951,19368,19043,19161,19240,19078,19246,19384,19176,19201,19169,19158,19560,19073,19237,19202,19090,19303,19154,19434,19192,19615,19255,19408,19033,19149,19215,19427,19027,19198,19333,18912,18666,17891
10,21540,19130,19234,19122,19128,18968,19225,19170,19107,19288,19625,19371,19186,19371,18989,19363,19529,19205,19205,19279,19169,19177,19124,18990,19079,19419,19163,19111,19196,18975,19247,19351,19246,19303,19202,19279,19505,19305,19299,19532,19345,19357,19155,19548,19313,19203,19120,19190,18854,18998,18393,17817
11,21465,19276,19032,19162,19341,19123,19409,19158,19069,18943,19091,19496,19301,19134,19327,19275,19406,19327,19267,19243,19286,19398,19370,19226,19146,19350,19342,19505,19131,19358,19238,19100,19323,19396,19035,19110,19127,19105,19215,19302,19122,19288,19438,19121,19115,19127,19295,18729,18968,18855,18736,18298
12,21229,19312,19271,19187,19365,19337,19257,19454,19506,19159,19319,19132,19355,19213,18877,19093,19307,19298,19271,19219,19404,19188,19230,19296,18969,19303,19173,19260,19083,19308,18888,19365,19324,19130,19064,19171,19045,19241,19278,19113,19243,19180,19021,19456,19108,19283,19229,19340,19072,18996,18662,18416
13,21142,19340,19422,19194,19003,19122,19398,19235,19388,19361,19408,18834,19455,19242,18901,19363,19316,18937,19240,19308,19264,19000,19303,19384,19200,19196,19294,19295,19165,19091,19189,19203,19201,19251,19195,19265,19229,19263,19225,19061,19114,19154,19348,19267,19262,19020,19123,19058,19173,19039,19001,18558
